Ticker,Date,Price,Momentum_6m,Volatility_30d,Avg_Volume_30d,Treated,Match_ID
NI,2021-11-02,21.64081573486328,-0.0225818009118246,0.007238475817793379,3554643.3333333335,0,72
DXCM,2022-06-13,68.05999755859375,-0.5046669502188275,0.04685902886490759,4487763.333333333,1,73
SWKS,2022-06-13,83.67964935302734,-0.410284913440098,0.03152026691832788,2342353.3333333335,0,73
CMG,2022-06-13,24.653600692749023,-0.2710046864515,0.027988186898279352,13643833.333333334,0,73
SNPS,2022-06-13,290.25,-0.19871354885900083,0.03562065126240648,1007233.3333333334,0,73
NUE,2022-06-13,106.428466796875,-0.02088631534514407,0.03432156786589744,2797816.6666666665,0,73
BKNG,2022-06-13,1947.4544677734375,-0.07917618502146395,0.03432563548907655,448503.3333333333,0,73
JCI,2022-06-13,46.65734100341797,-0.35715475798661867,0.02517098772008538,5256250.0,0,73
PH,2022-06-13,241.8982696533203,-0.18731573296500093,0.022545329801859755,724376.6666666666,0,73
FAST,2022-06-13,22.92638397216797,-0.21000128160891207,0.021398778971087985,6268206.666666667,0,73
META,2022-06-13,163.2535858154297,-0.5089240167429621,0.03819058777675615,30765356.666666668,0,73
CBOE,2022-06-13,104.24047088623047,-0.1625510143038641,0.017007065860646976,633346.6666666666,0,73
DLTR,2010-06-25,21.0049991607666,0.2852335611376078,0.013281185094894999,4577146.666666667,1,74
GPN,2010-06-25,18.282751083374023,-0.27541795787330847,0.023747387967818268,2481020.0,0,74
DHR,2010-06-25,15.812304496765137,0.029187367075581783,0.017921652347236503,6756869.933333334,0,74
HIG,2010-06-25,17.637805938720703,0.02070350503028684,0.03216829854420843,8243263.333333333,0,74
EXR,2010-06-25,8.596430778503418,0.22235513129520945,0.02791463407038885,1073780.0,0,74
PKG,2010-06-25,14.25294017791748,-0.04972756102019571,0.02649041509805448,1081443.3333333333,0,74
IRM,2010-06-25,8.736943244934082,0.005926184893850328,0.020513925772712268,1654944.2333333334,0,74
PWR,2010-06-25,21.44789695739746,0.01203702953704977,0.020099659997440896,3419900.0,0,74
HRL,2010-06-25,7.369320869445801,0.08320992259485038,0.011249429663208051,2782813.3333333335,0,74
AZO,2010-06-25,196.1300048828125,0.22650241005081928,0.015256386586634647,745920.0,0,74
FFIV,2010-06-25,71.88999938964844,0.37063867195298617,0.02726946927741941,1746113.3333333333,0,74
DLTR,2012-06-27,53.47999954223633,0.2748509790131637,0.020486347888725578,2428400.0,1,75
ABT,2012-06-27,23.194591522216797,0.14552770084550715,0.008117145396100799,12360240.366666667,0,75
WAT,2012-06-27,78.13999938964844,0.06661202717880599,0.014392351785232021,967583.3333333334,0,75
DE,2012-06-27,60.62861251831055,0.026995565227522222,0.018875642468498252,3794160.0,0,75
SMCI,2012-06-27,1.5269999504089355,-0.01989731626829616,0.025730275903643744,1598133.3333333333,0,75
JKHY,2012-06-27,28.187559127807617,0.000857525770640466,0.009781137670922722,802270.0,0,75
EBAY,2012-06-27,15.840290069580078,0.39066079661038655,0.020009538338082857,33110787.566666666,0,75
APO,2012-06-27,5.467577934265137,0.07104778714639015,0.019992988107516062,311290.0,0,75
CVX,2012-06-27,58.81471252441406,-0.015795355920232734,0.014904873790113281,7257826.666666667,0,75
REG,2012-06-27,27.88076400756836,0.24772872323580897,0.01693029779010091,674516.6666666666,0,75
PNR,2012-06-27,19.912256240844727,0.14711221512854267,0.01613849076168925,1378158.9333333333,0,75
DOV,2014-03-03,51.59617233276367,0.1252917927309436,0.017173443481101853,2395813.1,1,76
SLB,2014-03-03,66.19835662841797,0.1365443958939927,0.0126654098402026,6168266.666666667,0,76
LIN,2014-03-03,104.5079116821289,0.12090674061443218,0.01150388041715733,1433206.6666666667,0,76
WDC,2014-03-03,54.741676330566406,0.4283660140867753,0.013585457709646689,2844106.1666666665,0,76
CPRT,2014-03-03,4.519999980926514,0.13818065238886867,0.015311017741294832,5767600.0,0,76
FANG,2014-03-03,49.80744171142578,0.6006462546109053,0.02456396328952437,993483.3333333334,0,76
EG,2014-03-03,114.41051483154297,0.07993630715443412,0.01592462393334833,483513.3333333333,0,76
ERIE,2014-03-03,55.30195999145508,0.010685095426515634,0.010525411824016619,22353.333333333332,0,76
APTV,2014-03-03,51.670082092285156,0.21292536780422844,0.012456615947050763,2624731.1333333333,0,76
RF,2014-03-03,7.070235252380371,0.12723985711988695,0.016872297797907287,14982843.333333334,0,76
PGR,2014-03-03,18.40049171447754,0.023737113426676837,0.010834596631615,4317903.333333333,0,76
DOV,2018-05-09,68.1946029663086,-0.0007457735956125644,0.017288185277704718,2259967.8,1,77
EL,2018-05-09,125.07647705078125,0.13399398266072193,0.019743611340472124,2194266.6666666665,0,77
